"id","category","opening_message","expected_final_action","expected_decision","expected_tool_calls","notes"
"fs-01","fully_specified","Hi, I'm Sarah Chen, an Employee in Engineering at Fernwood Systems. I need access to the Production Database, no prior approvals yet.","respond_to_user","APPROVE","check_policy","Fernwood Employee in Engineering, rule F6 approve path."
"fs-02","fully_specified","Hi, I'm Priya Patel, an Intern in Engineering at Fernwood Systems. I'd like access to the Production Database. No approvals so far.","respond_to_user","DENY","check_policy","Fernwood Intern in Engineering, rule F6 hard deny for interns."
"fs-03","fully_specified","This is Marcus Webb, a Contractor in Engineering at Fernwood Systems. I need Production Database access. I have zero prior approvals.","escalate_to_human","ESCALATE","check_policy","Fernwood Contractor in Engineering, rule F6 escalate path."
"fs-04","fully_specified","Hi, I'm Tom Ashford, an Employee in Finance at Fernwood Systems. I need access to the Billing System, no prior approvals.","respond_to_user","APPROVE","check_policy","Fernwood Finance staff, rule F4 standing access."
"fs-05","fully_specified","This is Dr. Amara Nwosu, a Clinician in Clinical Care at Meridian Health. I need access to Patient Records (EHR), no approvals needed on my end.","respond_to_user","APPROVE","check_policy","Meridian Clinician in Clinical Care, rule M2 standing access."
"fs-06","fully_specified","Hi, I'm Frank Delgado, a Billing Coordinator in Billing at Meridian Health. I'd like access to Lab Results. No prior approvals.","respond_to_user","DENY","check_policy","Meridian Billing Coordinator, rule M5 hard deny for Lab Results."
"fs-07","fully_specified","This is Grace Liu, a Nurse in Clinical Care at Meridian Health. I need access to the Pharmacy System. I already have one prior approval.","escalate_to_human","ESCALATE","check_policy","Meridian Nurse with one approval, rule M3 escalate path."
"fs-08","fully_specified","Hi, I'm Nina Petrov, a Trader on the Trading Desk at Vertex Capital. I need access to the Trading System (Order Entry), no prior approvals.","respond_to_user","APPROVE","check_policy","Vertex Trader, rule V2 standing access."
"fs-09","fully_specified","This is Claire Bennett, a Compliance Officer in Compliance at Vertex Capital. I'd like access to the Trading System (Order Entry). No approvals on file.","respond_to_user","DENY","check_policy","Vertex Compliance Officer, rule V2 hard deny, segregation of duties."
"fs-10","fully_specified","Hi, I'm Derek Holt, an Ops Analyst in Operations at Vertex Capital. I need access to the Trading System (Order Entry). I already have two prior approvals.","escalate_to_human","ESCALATE","check_policy","Vertex Ops Analyst with two approvals, rule V2 escalate path."
"mi-01","missing_identity_lookup","Hi, I need access to the Source Code Repository, my name is Marcus Webb.","respond_to_user","APPROVE","lookup_requester,check_policy","Marcus Webb resolves to Fernwood Contractor in Engineering, rule F7 approve regardless of role."
"mi-02","missing_identity_lookup","This is David Kim, I need access to the Admin Console. I already have two prior manager approvals on this.","escalate_to_human","ESCALATE","lookup_requester,check_policy","David Kim resolves to Fernwood Manager, rule F2 escalate path with two approvals."
"mi-03","missing_identity_lookup","My name's Elena Rodriguez, requesting access to Incident Response Tools.","respond_to_user","APPROVE","lookup_requester,check_policy","Elena Rodriguez resolves to Fernwood Admin in Security, rule F3 standing access."
"mi-04","missing_identity_lookup","Priya Patel here, I need access to Customer PII.","respond_to_user","DENY","lookup_requester,check_policy","Priya Patel resolves to Fernwood Intern in Engineering, rule F5 deny without approvals."
"mi-05","missing_identity_lookup","Hi, this is Robert Chen. I need access to Vendor Contracts.","respond_to_user","APPROVE","lookup_requester,check_policy","Robert Chen resolves to Fernwood Manager in Sales, rule F9 standing access."
"mi-06","missing_identity_lookup","Hi, I'm Wendy Zhao, I need access to the Research Data Repository.","respond_to_user","APPROVE","lookup_requester,check_policy","Wendy Zhao resolves to Meridian IT Admin, rule M6 standing access."
"mi-07","missing_identity_lookup","This is Harold Jennings, requesting access to the Billing/Claims System.","respond_to_user","APPROVE","lookup_requester,check_policy","Harold Jennings resolves to Meridian Compliance Officer, rule M4 standing access."
"mi-08","missing_identity_lookup","Hi, my name is Grace Liu. I need access to Audit Logs.","respond_to_user","DENY","lookup_requester,check_policy","Grace Liu resolves to Meridian Nurse, rule M7 hard deny, no escalate path."
"mi-09","missing_identity_lookup","This is Omar Farouk, I'd like access to the Model Risk Repository. I have one prior approval already.","escalate_to_human","ESCALATE","lookup_requester,check_policy","Omar Farouk resolves to Vertex Portfolio Manager, rule V5 escalate with one approval."
"mi-10","missing_identity_lookup","Hi, I'm Sam Okafor, requesting access to Regulatory Filings.","respond_to_user","APPROVE","lookup_requester,check_policy","Sam Okafor resolves to Vertex Admin, rule V6 standing access."
"uk-01","lookup_fails","Hi, I'm Jake Sullivan, I need access to the Production Database at Fernwood Systems.","ask_clarifying_question","","lookup_requester","Jake Sullivan is not in the directory, lookup fails, agent must ask."
"uk-02","lookup_fails","This is Rachel Ortiz, requesting access to Lab Results at Meridian Health.","ask_clarifying_question","","lookup_requester","Rachel Ortiz is not in the directory, lookup fails, agent must ask."
"uk-03","lookup_fails","My name is Kevin Brandt, I'd like access to the Trade Blotter at Vertex Capital.","ask_clarifying_question","","lookup_requester","Kevin Brandt is not in the directory, lookup fails, agent must ask."
